attendees,month,day,hour,day_of_week,holiday,temp,temp_wb,rel_humidity,windspeed,precipitation
440,1,1,0,Mon,0,6.6,0,59,16,1
660,1,1,1,Mon,0,4.8,0,59,11,1
660,1,1,2,Mon,0,4.8,-1,54,21,1
110,1,1,5,Mon,0,3,-2,54,18,1
330,1,1,6,Mon,0,3,-2,54,15,1
330,1,1,7,Mon,0,3,-2,54,11,1
220,1,1,8,Mon,0,4.8,-1,51,15,1
880,1,1,9,Mon,0,10.2,2,49,18,1
1320,1,1,10,Mon,0,15.6,4,45,21,1
1760,1,1,11,Mon,0,19.2,6,43,16,1
1100,1,1,12,Mon,0,24.6,9,40,18,1
1760,1,1,13,Mon,0,26.4,9,38,21,1
1540,1,1,14,Mon,0,26.4,9,38,18,1
1320,1,1,15,Mon,0,24.6,8,38,20,1
1430,1,1,16,Mon,0,22.8,8,38,17,1
990,1,1,17,Mon,0,19.2,6,39,20,1
770,1,1,18,Mon,0,17.4,5,43,16,1
770,1,1,19,Mon,0,17.4,5,45,13,1
880,1,1,20,Mon,0,15.6,5,47,16,1
770,1,1,21,Mon,0,15.6,5,50,13,1
770,1,1,22,Mon,0,15.6,5,52,10,1
220,1,1,23,Mon,0,17.4,6,52,10,1
110,1,2,0,Tue,0,17.4,6,55,13,1
110,1,2,1,Tue,0,17.4,6,55,13,1
110,1,2,2,Tue,0,15.6,5,57,9,1
110,1,2,4,Tue,0,12,3,60,11,1
660,1,2,5,Tue,0,12,3,63,9,1
2200,1,2,6,Tue,0,12,4,66,9,1
6050,1,2,7,Tue,0,13.8,4,63,13,1
10560,1,2,8,Tue,0,15.6,5,60,15,1
5390,1,2,9,Tue,0,19.2,7,55,15,1
2420,1,2,10,Tue,0,22.8,8,51,11,1
2310,1,2,11,Tue,0,26.4,10,44,16,1
3080,1,2,12,Tue,0,28.2,10,40,16,1
3630,1,2,13,Tue,0,33.6,13,35,14,1
2860,1,2,14,Tue,0,35.4,13,35,10,1
4070,1,2,15,Tue,0,35.4,14,43,14,1
7590,1,2,16,Tue,0,35.4,14,49,9,1
12320,1,2,17,Tue,0,35.4,15,52,14,1
7920,1,2,18,Tue,0,35.4,15,52,14,1
4290,1,2,19,Tue,0,33.6,14,56,13,1
2420,1,2,20,Tue,0,33.6,14,56,14,1
2090,1,2,21,Tue,0,31.8,13,59,14,1
1540,1,2,22,Tue,0,33.6,14,62,15,1
990,1,2,23,Tue,0,37.2,16,59,15,1
330,1,3,0,Wed,0,35.4,15,59,17,1
110,1,3,1,Wed,0,37.2,16,57,20,1
220,1,3,2,Wed,0,35.4,15,59,13,1
110,1,3,3,Wed,0,35.4,15,57,16,1
1210,1,3,5,Wed,0,33.6,14,59,11,1
3300,1,3,6,Wed,0,33.6,14,59,10,1
9460,1,3,7,Wed,0,33.6,14,59,7,1
18150,1,3,8,Wed,0,39,16,52,5,1
10120,1,3,9,Wed,0,40.8,17,54,6,1
5060,1,3,10,Wed,0,44.4,19,55,9,1
3520,1,3,11,Wed,0,48,20,48,6,1
5610,1,3,12,Wed,0,51.6,22,45,9,1
6050,1,3,13,Wed,0,53.4,22,41,7,1
5390,1,3,14,Wed,0,53.4,22,35,10,1
6160,1,3,15,Wed,0,51.6,22,45,11,1
14740,1,3,16,Wed,0,48,21,53,8,1
20570,1,3,17,Wed,0,46.2,20,57,8,1
13200,1,3,18,Wed,0,46.2,21,65,10,1
7920,1,3,19,Wed,0,46.2,21,65,10,1
4620,1,3,20,Wed,0,44.4,20,63,5,1
2530,1,3,21,Wed,0,42.6,19,66,5,1
2530,1,3,22,Wed,0,49.8,22,55,5,1
1650,1,3,23,Wed,0,48,22,60,6,1
550,1,4,0,Thu,0,44.4,20,65,6,1
220,1,4,1,Thu,0,44.4,20,65,7,1
440,1,4,2,Thu,0,46.2,20,55,7,1
110,1,4,3,Thu,0,48,21,55,13,1
110,1,4,4,Thu,0,46.2,21,62,13,1
880,1,4,5,Thu,0,49.8,23,66,21,1
1320,1,5,16,Fri,0,22.8,8,46,21,1
1650,1,5,17,Fri,0,19.2,6,50,29,1
1210,1,5,18,Fri,0,19.2,6,50,23,1
1210,1,5,19,Fri,0,17.4,5,50,31,1
770,1,5,20,Fri,0,17.4,5,50,29,1
440,1,5,21,Fri,0,17.4,5,47,30,1
440,1,5,22,Fri,0,15.6,5,55,24,1
110,1,5,23,Fri,0,15.6,4,47,26,1
330,1,6,0,Sat,1,15.6,5,50,20,1
110,1,6,1,Sat,1,15.6,5,50,21,1
110,1,6,4,Sat,1,15.6,4,45,21,1
220,1,6,6,Sat,1,15.6,4,45,25,1
880,1,6,8,Sat,1,15.6,4,45,25,1
990,1,6,9,Sat,1,19.2,6,43,24,1
660,1,6,10,Sat,1,21,7,43,28,1
770,1,6,11,Sat,1,21,7,43,23,1
1430,1,6,12,Sat,1,22.8,8,42,28,1
440,1,6,13,Sat,1,22.8,8,40,25,1
1540,1,6,14,Sat,1,24.6,8,38,23,1
1540,1,6,15,Sat,1,22.8,8,40,15,1
1650,1,6,16,Sat,1,24.6,9,40,22,1
1870,1,6,17,Sat,1,19.2,6,43,20,1
990,1,6,18,Sat,1,17.4,5,45,16,1
660,1,6,19,Sat,1,17.4,5,45,20,1
330,1,6,20,Sat,1,17.4,5,45,13,1
770,1,6,21,Sat,1,10.2,2,42,18,1
770,1,6,22,Sat,1,6.6,0,46,17,1
220,1,6,23,Sat,1,4.8,-1,44,21,1
440,1,7,0,Sun,1,3,-2,46,18,1
110,1,7,2,Sun,1,-0.6,-3,48,24,1
110,1,7,3,Sun,1,-0.6,-3,48,23,1
110,1,7,4,Sun,1,-0.6,-3,48,28,1
110,1,7,6,Sun,1,-0.6,-3,50,21,1
440,1,7,8,Sun,1,4.8,-1,46,16,1
990,1,7,9,Sun,1,8.4,1,47,11,1
1430,1,7,10,Sun,1,13.8,4,43,15,1
1100,1,7,11,Sun,1,19.2,6,39,10,1
2090,1,7,12,Sun,1,22.8,8,36,9,1
1210,1,7,13,Sun,1,28.2,10,33,8,1
1980,1,7,14,Sun,1,28.2,10,36,13,1
1320,1,7,15,Sun,1,28.2,10,36,10,1
2090,1,7,16,Sun,1,28.2,10,36,10,1
1320,1,7,17,Sun,1,28.2,10,38,10,1
1320,1,7,18,Sun,1,30,11,38,13,1
990,1,7,19,Sun,1,28.2,10,42,14,1
880,1,7,20,Sun,1,26.4,10,44,15,1
880,1,7,21,Sun,1,28.2,11,47,21,1
880,1,7,22,Sun,1,30,12,56,16,1
330,1,7,23,Sun,1,31.8,13,59,18,1
110,1,8,0,Mon,0,37.2,15,51,18,1
110,1,8,2,Mon,0,40.8,17,50,16,1
220,1,8,3,Mon,0,40.8,17,52,14,1
220,1,8,4,Mon,0,42.6,18,50,14,1
770,1,8,5,Mon,0,44.4,19,50,15,1
1980,1,8,6,Mon,0,46.2,20,50,13,1
6380,1,8,7,Mon,0,48,21,50,18,1
20240,1,8,8,Mon,0,48,21,53,16,1
8910,1,8,9,Mon,0,49.8,22,53,15,1
4730,1,8,10,Mon,0,55.2,24,47,16,1
3520,1,8,11,Mon,0,58.8,25,43,16,1
4730,1,8,12,Mon,0,64.2,27,40,17,1
3410,1,8,13,Mon,0,64.2,28,44,18,1
4620,1,8,14,Mon,0,64.2,28,50,18,1
4510,1,8,15,Mon,0,66,29,50,22,1
9680,1,8,16,Mon,0,66,30,57,18,1
14300,1,8,17,Mon,0,64.2,30,64,21,1
8910,1,8,18,Mon,0,62.4,30,75,22,1
7480,1,8,19,Mon,0,62.4,30,75,15,1
5060,1,8,20,Mon,0,60.6,30,79,15,1
3520,1,8,21,Mon,0,60.6,30,79,15,1
2310,1,8,22,Mon,0,60.6,30,79,16,1
1210,1,8,23,Mon,0,62.4,30,75,14,1
550,1,9,0,Tue,0,60.6,30,79,10,1
440,1,9,1,Tue,0,60.6,30,79,9,1
220,1,9,2,Tue,0,60.6,30,79,8,1
330,1,9,4,Tue,0,60.6,30,79,14,1
1210,1,9,5,Tue,0,60.6,30,79,17,1
3300,1,9,6,Tue,0,60.6,29,75,17,1
10780,1,9,7,Tue,0,66,32,70,17,1
20790,1,9,8,Tue,0,64.2,31,73,17,1
13640,1,9,9,Tue,0,71.4,33,62,11,1
3630,1,9,10,Tue,0,75,34,53,16,1
5390,1,9,11,Tue,0,75,34,51,18,1
6600,1,9,12,Tue,0,76.8,34,45,18,1
4510,1,9,13,Tue,0,76.8,33,43,18,1
6050,1,9,14,Tue,0,75,33,43,14,1
6820,1,9,15,Tue,0,76.8,33,41,16,1
15070,1,9,16,Tue,0,73.2,32,45,10,1
19470,1,9,17,Tue,0,71.4,31,46,15,1
15950,1,9,18,Tue,0,67.8,30,50,11,1
9570,1,9,19,Tue,0,66,30,52,15,1
5720,1,9,20,Tue,0,64.2,29,54,13,1
2530,1,9,21,Tue,0,62.4,28,56,10,1
2200,1,9,22,Tue,0,60.6,27,56,13,1
1100,1,9,23,Tue,0,60.6,27,54,9,1
990,1,10,0,Wed,0,58.8,26,56,9,1
440,1,10,1,Wed,0,55.2,25,58,9,1
220,1,10,2,Wed,0,53.4,24,60,6,1
110,1,10,3,Wed,0,53.4,24,58,3,1
330,1,10,4,Wed,0,53.4,24,58,3,1
1540,1,10,5,Wed,0,51.6,23,58,3,1
5060,1,10,6,Wed,0,51.6,23,61,3,1
11110,1,10,7,Wed,0,49.8,23,66,6,1
24090,1,10,8,Wed,0,51.6,24,69,5,1
14960,1,10,9,Wed,0,58.8,27,56,0,1
7040,1,10,10,Wed,0,58.8,27,56,0,1
5500,1,10,11,Wed,0,58.8,27,59,7,1
8250,1,10,12,Wed,0,62.4,28,56,6,1
6270,1,10,13,Wed,0,64.2,30,59,8,1
6160,1,10,14,Wed,0,67.8,30,50,10,1
8470,1,10,15,Wed,0,64.2,29,56,11,1
13090,1,10,16,Wed,0,62.4,29,61,8,1
25410,1,10,17,Wed,0,60.6,29,69,10,1
16060,1,10,18,Wed,0,58.8,29,76,10,1
9900,1,10,19,Wed,0,58.8,28,72,11,1
5830,1,10,20,Wed,0,60.6,29,73,11,1
5610,1,10,21,Wed,0,62.4,30,72,13,1
2640,1,10,22,Wed,0,62.4,30,75,11,1
1760,1,10,23,Wed,0,64.2,31,75,10,1
550,1,11,0,Thu,0,64.2,32,79,10,1
440,1,11,1,Thu,0,66,33,78,9,1
110,1,11,2,Thu,0,66,33,85,8,1
220,1,11,4,Thu,0,66,34,89,9,1
1430,1,11,5,Thu,0,69.6,36,89,8,1
4950,1,11,6,Thu,0,71.4,36,86,7,1
15180,1,11,7,Thu,0,71.4,37,93,7,1
29590,1,11,8,Thu,0,80.4,41,86,15,1
18920,1,11,9,Thu,0,82.2,43,89,22,1
8030,1,11,10,Thu,0,84,44,90,18,1
8140,1,11,11,Thu,0,89.4,45,80,15,1
8360,1,11,12,Thu,0,91.2,47,83,16,1
8360,1,11,13,Thu,0,91.2,47,83,13,1
7260,1,11,14,Thu,0,91.2,47,83,14,1
9570,1,11,15,Thu,0,91.2,47,86,13,1
16500,1,11,16,Thu,0,85.8,45,89,9,1
