Date,Portfolio,Market_Excess,SMB,HML,RMW,CMA,RF
1/3/2013,-0.005065706,-0.0014,0.0014,4.00E-04,0.002,0.0023,0
1/4/2013,0.00402379,0.0055,0.0019,0.0043,-0.0037,0.0027,0
1/7/2013,0.004420937,-0.0031,-9.00E-04,-0.0037,-0.0013,-0.0012,0
1/8/2013,-0.004659185,-0.0027,4.00E-04,-7.00E-04,-0.0012,9.00E-04,0
1/9/2013,0.004636355,0.0034,0.0024,-0.0041,-7.00E-04,-0.0015,0
1/10/2013,0.00770915,0.0066,-0.0059,0.0051,-0.0015,3.00E-04,0
1/11/2013,0.003777133,2.00E-04,4.00E-04,-0.0045,0.0019,-0.0021,0
1/14/2013,-0.005627707,-6.00E-04,3.00E-04,-8.00E-04,-8.00E-04,0.0037,0
1/15/2013,-0.005215916,0.0019,0.0028,0,-5.00E-04,6.00E-04,0
1/16/2013,0.001091071,-4.00E-04,-0.0023,0.0023,-6.00E-04,-3.00E-04,0
1/17/2013,0.003075337,0.0061,0.0039,-9.00E-04,0.0015,-2.00E-04,0
1/18/2013,0.004265157,0.0029,3.00E-04,-0.0011,0.0018,0.0027,0
1/22/2013,0.003804994,0.0048,0.0022,0.0046,-0.0014,0.0011,0
1/23/2013,0.002830701,0.001,-0.0034,-0.0012,-0.0017,-0.0016,0
1/24/2013,-0.008521152,9.00E-04,0.0033,5.00E-04,-2.00E-04,0.0053,0
1/25/2013,0.010008894,0.0059,-6.00E-04,-0.0028,-0.0014,-0.0016,0
1/28/2013,0.001777765,-0.0014,0.0035,0.0012,2.00E-04,-5.00E-04,0
1/29/2013,-0.004662569,0.0036,-0.0044,0.0036,-0.001,0.003,0
1/30/2013,0.002188163,-0.0038,-0.0089,0.0012,-7.00E-04,0,0
1/31/2013,-0.005856452,-8.00E-04,0.0072,0.0019,-0.0021,0.001,0
2/1/2013,0.003155945,0.0099,8.00E-04,0.0026,-0.0027,-5.00E-04,0
2/4/2013,-0.016873213,-0.0119,-0.001,-0.0015,1.00E-04,2.00E-04,0
2/5/2013,0.014860328,0.0107,-5.00E-04,0.0018,-2.00E-04,-0.0011,0
2/6/2013,-0.000622034,0.0015,0.003,0.0012,-0.0016,4.00E-04,0
2/7/2013,0.001965954,-0.0015,-8.00E-04,2.00E-04,0.0017,-4.00E-04,0
2/8/2013,0.005145785,0.0058,3.00E-04,-0.0021,0.001,-0.0045,0
2/11/2013,-0.001552271,-8.00E-04,-3.00E-04,0.0039,-0.0019,0.0028,0
2/12/2013,-0.001853304,0.0016,0.0026,0.0071,-0.0052,0.0045,0
2/13/2013,0.009646717,0.0014,8.00E-04,-2.00E-04,-5.00E-04,-6.00E-04,0
2/14/2013,0.003145831,0.0011,0.0032,0.001,-0.0027,-0.002,0
2/15/2013,-0.004869084,-0.0011,0,-0.001,-4.00E-04,0.0013,0
2/19/2013,0.012224068,0.0074,0.0025,0.0017,-8.00E-04,0.0034,0
2/20/2013,-0.011568768,-0.0136,-0.0061,-0.0064,0.0027,0.0011,0
2/21/2013,-0.007921036,-0.0066,-0.0031,-6.00E-04,9.00E-04,0.0025,0
2/22/2013,0.005121731,0.0094,0.0017,-6.00E-04,-9.00E-04,-0.0013,0
2/25/2013,-0.015174522,-0.0182,-0.0026,-0.0072,0.0065,-0.0039,0
2/26/2013,0.004993339,0.0058,-0.0019,2.00E-04,-2.00E-04,0.0022,0
2/27/2013,0.00896211,0.0129,-0.0032,0.0016,-0.0021,3.00E-04,0
2/28/2013,-0.000450145,-5.00E-04,0.001,-0.0016,0,0,0
3/1/2013,0.001482887,0.0022,0.0011,-0.0033,-0.0012,0,0
3/4/2013,0.002568762,0.0047,-0.0041,0.001,-0.0039,0.0043,0
3/5/2013,0.008961964,0.01,0.002,-0.0017,9.00E-04,0,0
3/6/2013,-0.003239863,0.0018,0.0015,0.0047,-0.0019,0.0013,0
3/7/2013,0.007240559,0.0027,0.0022,0.0042,-0.0015,-2.00E-04,0
3/8/2013,-0.001224697,0.0052,0.0038,-0.0015,-2.00E-04,3.00E-04,0
3/11/2013,0.000855587,0.003,-0.0028,0.0023,5.00E-04,2.00E-04,0
3/12/2013,-0.003169969,-0.0022,4.00E-04,-0.0013,0.0029,7.00E-04,0
3/13/2013,-0.002720205,0.002,0.0023,8.00E-04,0.0012,0.0027,0
3/14/2013,0.003091011,0.0058,0.0041,0.0039,-3.00E-04,-1.00E-04,0
3/15/2013,-0.005815793,-0.0019,0.0013,0.0043,0.0025,0,0
3/18/2013,-0.003243481,-0.005,0.001,-0.0023,0.0038,-4.00E-04,0
3/19/2013,-0.000928758,-0.0024,-6.00E-04,3.00E-04,9.00E-04,0.0037,0
3/20/2013,-0.001013755,0.0076,0.0022,0,-0.0029,0.0021,0
3/21/2013,-0.006721412,-0.0085,0.0013,-0.0028,1.00E-04,7.00E-04,0
3/22/2013,0.009343481,0.0062,-0.0052,-0.003,0.0011,-0.0015,0
3/25/2013,-0.005040939,-0.0029,0.003,2.00E-04,0.0014,-3.00E-04,0
3/26/2013,0.005417466,0.0076,-0.0039,-0.0022,7.00E-04,-4.00E-04,0
3/27/2013,0.003339555,-2.00E-04,0.0012,-0.003,0.001,-0.001,0
3/28/2013,-0.003682278,0.0039,-0.0032,-0.003,-0.0025,9.00E-04,0
4/1/2013,-0.001974428,-0.0057,-0.0092,3.00E-04,6.00E-04,0.0026,0
4/2/2013,0.00526308,0.0033,-0.009,-0.0032,-4.00E-04,3.00E-04,0
4/3/2013,-0.005262946,-0.0116,-0.0042,-0.0019,0.005,-0.0012,0
4/4/2013,0.006594268,0.0042,0.0025,0.0025,-9.00E-04,0.0027,0
4/5/2013,-0.001872687,-0.0041,9.00E-04,0.0035,-0.001,0.0024,0
4/8/2013,0.000534014,0.007,0.0011,0.0028,-0.0031,0.0011,0
4/9/2013,0.005157219,0.0031,-0.0041,0.0019,-1.00E-04,-0.0039,0
4/10/2013,0.016031619,0.0128,0.0061,-0.001,-0.001,-7.00E-04,0
4/11/2013,0.000994716,0.0035,-0.0017,-0.0015,7.00E-04,0.0048,0
4/12/2013,-0.003813566,-0.0028,-0.0018,-0.0046,0,7.00E-04,0
4/15/2013,-0.0204981,-0.0248,-0.0149,-0.0028,4.00E-04,-5.00E-04,0
4/16/2013,0.011556951,0.0147,0.0015,7.00E-04,-0.0037,-6.00E-04,0
4/17/2013,-0.015926457,-0.0146,-0.0035,-0.0055,0.0012,0.0028,0
4/18/2013,-0.011527124,-0.0071,0.002,2.00E-04,0.0058,0.001,0
4/19/2013,0.005210642,0.0097,3.00E-04,0.0012,-0.0038,0.0019,0
4/22/2013,0.009492634,0.0045,-0.0018,-0.0014,0.0031,-0.0029,0
4/23/2013,0.009366206,0.0111,0.0053,0.0063,-0.005,0.0025,0
4/24/2013,0.001380516,6.00E-04,0.0051,0.0121,-3.00E-04,-0.0027,0
4/25/2013,0.004715805,0.0049,0.0023,1.00E-04,-5.00E-04,-7.00E-04,0
4/26/2013,-0.00303919,-0.002,-0.0035,-0.0022,0.001,9.00E-04,0
4/29/2013,0.006670737,0.0067,0.001,-8.00E-04,0.0021,-0.0032,0
4/30/2013,0.011313033,0.0029,0.0036,-5.00E-04,0.0019,-0.0029,0
5/1/2013,-0.011774407,-0.0108,-0.0146,-0.0027,-7.00E-04,-0.0011,0
5/2/2013,0.014905347,0.0104,0.0055,0.0013,-0.0047,-0.0025,0
5/3/2013,0.004033925,0.0112,0.006,0.0016,-0.0017,-0.0026,0
5/6/2013,-0.000360642,0.0023,0.0029,0.0084,-0.005,7.00E-04,0
5/7/2013,0.001998591,0.0054,0.002,0.0014,0.0025,0.0029,0
5/8/2013,0.006063526,0.0044,-0.0017,0.0014,5.00E-04,-0.0014,0
5/9/2013,-0.001856539,-0.0031,7.00E-04,-0.0029,3.00E-04,-0.0017,0
5/10/2013,-0.000616627,0.0054,0.0041,-0.002,-0.0025,-2.00E-04,0
5/13/2013,0.002909081,-2.00E-04,-0.0026,-5.00E-04,-0.0043,7.00E-04,0
5/14/2013,0.007871428,0.011,0.0017,0.003,-0.0025,0.0017,0
5/15/2013,-0.000436361,0.0051,-0.0012,0.0027,-8.00E-04,0.0031,0
5/16/2013,-0.002200926,-0.005,0.0017,-0.0027,0.0015,-0.0036,0
5/17/2013,0.011276565,0.0104,8.00E-04,0.0038,6.00E-04,-0.0016,0
5/20/2013,0.000806727,-6.00E-04,0.0044,0.0049,0.0032,-0.0021,0
5/21/2013,0.000738621,0.0016,-7.00E-04,-8.00E-04,0.002,0.0021,0
5/22/2013,-0.004579734,-0.0092,-0.0073,-0.0017,0.0022,0.0034,0
5/23/2013,-0.004585753,-0.0019,0.0049,-0.001,2.00E-04,8.00E-04,0
5/24/2013,-0.002950259,-6.00E-04,0.0015,5.00E-04,-6.00E-04,0,0
5/28/2013,0.00549834,0.0077,0.0068,0.0022,-0.0016,-0.0018,0
5/29/2013,-0.007233407,-0.007,-0.0025,0.0058,-0.0023,-0.0029,0
5/30/2013,0.009465121,0.005,0.0037,0.0048,-0.005,1.00E-04,0
5/31/2013,-0.01005131,-0.0131,0.0048,-0.0024,0.0018,-0.0013,0
6/3/2013,0.002692874,0.0048,0.0017,-0.0011,0.0026,-6.00E-04,0
6/4/2013,-0.004786132,-0.0055,-0.0026,-0.0016,0.0036,-3.00E-04,0
6/5/2013,-0.010920299,-0.0138,3.00E-04,-0.0026,0.0012,-0.0015,0
6/6/2013,0.004287467,0.0089,0.0019,0.0026,-0.0046,0.0035,0
6/7/2013,0.01326132,0.013,-0.0045,7.00E-04,-0.0024,-6.00E-04,0
6/10/2013,0.006694071,7.00E-04,0.0066,0.0021,-0.0025,-0.0011,0
6/11/2013,-0.01097153,-0.0104,-2.00E-04,-0.0058,0.0039,1.00E-04,0
6/12/2013,-0.00690978,-0.0082,4.00E-04,3.00E-04,0.0017,0.0015,0
6/13/2013,0.010140096,0.0147,0.0014,0.0031,-0.0018,0.0028,0
6/14/2013,-0.008713877,-0.0059,-0.0028,-0.0056,0.002,-3.00E-04,0
6/17/2013,0.010231716,0.0074,-9.00E-04,2.00E-04,-0.0023,-0.0039,0
6/18/2013,0.00812,0.008,0.0036,-6.00E-04,-2.00E-04,3.00E-04,0
6/19/2013,-0.013084751,-0.0128,0.0021,0.0011,-4.00E-04,-0.0029,0
6/20/2013,-0.021803884,-0.0245,2.00E-04,0.0034,6.00E-04,-0.0013,0
6/21/2013,0.002405608,0.0013,0.0018,-8.00E-04,-0.0023,0.001,0
6/24/2013,-0.008892605,-0.0119,0,-0.0066,0.0018,-0.0014,0
6/25/2013,0.008910799,0.0096,7.00E-04,0.0086,-0.003,0.003,0
6/26/2013,0.008327169,0.0092,-0.0072,-0.0013,4.00E-04,0.0018,0
6/27/2013,0.00456032,0.0077,0.0085,0.0036,-0.0043,0.0024,0
6/28/2013,-0.001229305,-0.0033,0.0031,-0.0014,0.0021,-0.0032,0
7/1/2013,0.005137131,0.0071,0.0073,-0.0014,-0.0035,0,0
7/2/2013,0.000451317,-0.001,3.00E-04,9.00E-04,6.00E-04,-9.00E-04,0
7/3/2013,0.002058342,0.0011,0.0016,-0.0021,0.0017,-6.00E-04,0
