date,S&P 500 Health Care (Sector),S&P 500 Real Estate (Sector),S&P 500 Industrials (Sector),S&P 500 Information Technology (Sector),S&P 500 Materials (Sector),S&P GSCI Unleaded Gasoline TR,S&P GSCI Industrial Metals TR,S&P GSCI Crude Oil Capped Component TR,S&P GSCI Agriculture TR,S&P 500 Energy (Sector),S&P 500 Consumer Staples (Sector),S&P 500 Financials (Sector),S&P 500 Consumer Discretionary (Sector),S&P 500 Communication Services (Sector),S&P 500 Bond Index,S&P U.S. Treasury Bill Index,S&P 500 VIX Short-Term Futures 0.5X Leveraged Daily Index (USD) TR,S&P 500 Utilities (Sector),S&P 500
4/17/2019,97.11,99.01,100.15,100.58,99.39,100.15,100.42,99.74,99.72,99.91,100.36,100.18,100.19,100.15,99.99,100.01,100.01,99.79,99.77
4/18/2019,97.25,99.75,101.26,100.86,99.5,101.22,99.88,99.87,100.08,99.39,100.33,99.94,100.14,100.29,100.17,100.03,99.35,99.81,99.93
4/22/2019,97.31,98.71,100.94,101.09,98.83,103.41,99.88,100.24,99.14,101.43,100.29,99.68,99.92,101.02,99.96,100.04,98.54,99.69,100.03
4/23/2019,98.86,99.81,101.84,102.23,99.27,103.68,99.07,100.14,98.72,101.46,100.17,100.26,101.14,101.88,100.07,100.05,98.37,100.06,100.92
4/24/2019,98.73,100.58,101.52,102.23,98.71,103.31,99.5,99.57,97.64,99.59,100.26,100.12,101.11,101.12,100.36,100.05,99.84,100.61,100.69
4/25/2019,99.84,100.4,99.5,102.22,97.43,103.49,98.66,99.06,98,99.31,99.51,100.38,100.63,102.21,100.35,100.06,100.76,101.04,100.66
4/26/2019,100.81,101.09,100.22,101.86,98.23,101.9,98.77,98.27,98.15,98.11,100.43,101.33,101.56,102.99,100.52,100.08,99.14,101.21,101.13
4/29/2019,100.59,100.02,100.49,101.86,98.05,101.06,98.65,98.02,97.23,97.86,100.51,102.27,101.21,103.87,100.41,100.09,99.84,100.56,101.24
4/30/2019,101.13,101.21,101,102.07,98.91,102.92,98.14,97.91,96.82,97.89,101.75,102.43,101.01,101.21,100.55,100.1,99.68,102.25,101.33
5/1/2019,100.83,101.25,100.24,101.8,97.09,102.79,96.73,97.53,97.4,95.76,100.55,101.55,99.87,100.53,100.6,100.1,102.04,101.16,100.57
5/2/2019,101.31,101.4,100.11,101.25,96.57,100.51,96.19,96.63,97.71,94.12,100.46,101.71,99.84,100.03,100.33,100.11,101.82,100.87,100.36
5/3/2019,102.08,102.07,101.35,102.21,97.52,100.92,96.53,96.68,97.23,94.91,101.2,102.55,101.23,101.18,100.43,100.13,99.27,101.53,101.33
5/6/2019,102.68,101.64,100.37,101.37,96.17,99.43,96.53,96.27,96.02,94.85,101.03,101.87,100.59,101,100.53,100.14,102.61,100.87,100.87
5/7/2019,100.68,99.83,98.32,99.23,94.43,96.76,95.97,95.61,96.2,94.26,100.02,100.15,99.12,99.63,100.76,100.14,108.52,100.56,99.21
5/8/2019,100.8,99.87,98.33,99.06,94.33,97.72,95.27,95.71,95.59,94.2,99.87,99.86,99.06,99.27,100.58,100.15,109.27,99.17,99.05
5/9/2019,100.59,100.2,98.13,98.39,93.57,97.42,94.59,95.12,93.89,94.27,99.66,99.72,98.64,99.09,100.66,100.16,108.95,99.08,98.75
5/10/2019,100.52,101.33,98.5,98.56,94.76,97.68,95.05,95.01,93.05,94.34,100.82,100.24,98.68,99.3,100.54,100.18,104.95,100.8,99.12
5/13/2019,98.77,101.34,95.7,94.91,92.7,96.28,93.87,94.25,93.59,92.85,99.99,97.36,95.77,96.8,100.71,100.19,112.91,101.92,96.73
5/14/2019,99.17,101.69,96.72,96.42,93.45,97.11,94.84,95.5,96.17,93.86,100.36,98.14,96.61,97.03,100.65,100.19,109.89,101.03,97.5
5/15/2019,99.44,102.35,96.84,97.37,93.23,98.71,95.73,95.81,96.13,94.3,101.16,97.66,97.36,99.08,100.9,100.2,107.46,100.9,98.07
5/16/2019,100.18,102.89,97.68,98.33,94.48,100.99,96.08,96.8,98.02,94.65,101.91,98.73,98.34,100.04,100.86,100.21,105.29,101.48,98.94
5/17/2019,100.02,102.71,96.6,97.53,94.01,100.5,95.11,96.32,97.53,93.66,101.72,98.15,97.55,99.56,100.9,100.23,106.05,101.97,98.37
5/20/2019,99.98,101.05,96.33,95.82,92.64,98.84,94.01,96.84,99.32,93.72,101.5,98.28,96.87,98.4,100.75,100.24,106.57,102.15,97.7
5/21/2019,100.8,101.9,97.47,96.97,94.04,99.46,93.84,96.87,99.84,94.73,101.18,99.12,97.43,99.34,100.67,100.25,103.75,102.21,98.53
5/22/2019,101.44,102.32,96.68,96.42,93.42,97.98,92.89,95.51,99.41,93.23,101.74,98.63,96.55,99.37,100.86,100.25,103.59,103.04,98.25
5/23/2019,101.07,102.84,95.14,94.76,91.99,94.17,93.12,93.85,98.79,90.32,101.67,97.16,95.26,98.12,101.13,100.27,107.05,103.89,97.08
5/24/2019,101.19,102.99,95.18,94.8,92.45,95.27,93.89,94.93,101.39,90.45,101.27,97.91,95.39,98.12,101.15,100.29,105.3,103.67,97.21
5/28/2019,99.77,101.86,94.28,94.49,91.6,96.41,93.94,95.61,104.46,89.46,99.46,96.83,94.92,98.28,101.39,100.3,107.24,102,96.4
5/29/2019,98.81,100.68,93.85,93.93,91.55,95.62,93.08,95.53,104.19,88.9,98.75,96.73,94.08,97.2,101.25,100.3,108.41,100.63,95.73
5/30/2019,99.33,101.34,94.21,94.49,91.65,92.34,92.71,94.84,107.4,87.85,99.08,96.29,94.56,97.17,101.63,100.31,107.47,100.49,95.93
5/31/2019,98.55,102.12,92.83,92.98,90.52,88.21,92.61,92.73,106.04,86.43,97.68,94.87,93.2,95.19,102.04,100.33,109.58,100.94,94.67
6/3/2019,98.85,102.57,93.49,91.34,93.62,86.71,92.04,92.65,106.88,87.61,98.98,95.52,92.1,92.53,102.34,100.35,109.74,101.98,94.41
6/4/2019,100.52,101.99,95.71,94.32,96.2,85.86,92.53,92.96,106.45,89.02,99.75,98.11,94.53,94.14,102.08,100.36,107.1,102.03,96.43
6/5/2019,101.2,104.37,96.73,95.62,96.95,84.3,91.71,91.3,103.89,88.06,100.86,98.67,94.94,94.26,102.04,100.37,105.63,104.21,97.22
6/6/2019,101.52,104.52,96.74,96.66,98.05,85.04,92,92.33,105.62,89.58,101.68,99.03,95.41,94.67,102.06,100.39,105.09,104.67,97.81
6/7/2019,102.81,104.8,97.57,98.52,98.74,86.32,91.39,92.51,104.68,89.95,102.72,98.83,96.92,96.07,102.44,100.42,105.61,103.86,98.84
6/10/2019,103.13,104.48,97.69,99.49,98.88,85.61,92.3,92.62,105.21,90.25,102.72,99.71,97.94,95.93,102.3,100.42,104.83,103.24,99.3
6/11/2019,102.88,104.66,96.81,99.51,98.81,86.51,92.7,93.06,107.04,90.36,103.14,99.71,98.27,96.21,102.33,100.42,105.15,102.52,99.27
6/12/2019,103.4,104.94,97.01,98.94,99.12,82.93,92.68,92.2,108.7,89.06,103.18,98.77,98.16,95.93,102.44,100.44,104.81,103.89,99.06
